customer_id,verified_review_count
13125404,1
13127384,1
13127399,1
13128690,1
13130330,1
13131595,2
13132303,1
13132581,2
13132723,1
13136628,1
13137302,1
13138094,1
13140572,1
13141164,1
13144064,3
13146115,1
13146661,1
13147302,1
13149490,2
13152930,1
13155286,1
13156114,1
13163567,2
13164956,1
13165506,2
13167475,2
13168843,1
13171645,1
13172731,1
13173226,1
13174788,1
13175760,1
13176094,1
13178788,1
13178901,1
13179848,1
13180324,1
13181076,1
13181126,1
13181500,1
13181963,1
13182438,1
13182663,1
13182942,1
13185041,1
13192319,3
13193822,1
13194953,1
13196194,1
13197968,1
13198133,1
13199021,1
13201810,1
13205327,2
13205632,2
13205940,1
13206134,1
13206311,1
13206648,1
13208471,1
13208494,1
13210304,1
13210567,1
13211557,2
13212417,1
13212805,1
13213461,1
13214217,1
13214348,1
13214511,1
13215505,1
13219183,1
13221963,1
13222095,2
13222682,1
13225409,1
13225952,1
13227584,1
13231896,2
13231999,1
13232007,1
13232468,1
13233509,1
13234296,1
13237751,1
13238195,1
13238802,1
13238985,1
13240039,1
13244036,1
13244237,1
13244444,1
13245390,1
13246254,1
13246677,1
13247040,2
13247874,1
13248171,1
13248240,2
13253832,1
13254704,1
13256087,1
13256314,1
13259667,2
13260370,1
13260586,1
13260848,1
13261062,2
13261744,1
13263489,1
13263825,1
13264656,1
13264709,1
13264745,1
13265548,1
13266109,2
13266522,1
13268143,1
13268907,1
13269126,1
13270056,2
13270998,1
13271442,1
13271654,1
13271896,1
13272229,1
13274016,1
13274185,1
13274772,1
13275465,1
13275542,1
13278312,1
13278617,1
13279007,1
13279882,2
13280516,1
13282341,3
13282757,1
13284838,1
13285330,1
13286341,2
13286753,1
13287983,1
13288730,1
13288774,1
13292558,1
13294425,1
13294595,1
13296305,1
13297486,1
13297700,1
13298403,1
13298908,1
13299463,1
13300233,1
13300237,1
13306877,1
13307394,1
13307873,1
13308083,1
13308630,1
13310111,2
13311853,3
13312080,1
13312616,1
13314063,2
13315105,1
13319521,1
13322109,1
13323143,1
13323485,1
13323535,1
13323780,1
13326746,1
13326955,1
13327017,2
13327928,1
13328465,1
13328934,1
13331003,1
13331218,1
13331275,1
13331427,1
13331794,2
13332059,1
13333076,1
13333215,1
13333478,1
13335069,1
13335582,3
13336349,2
13337360,1
13337575,1
13342100,1
13344144,1
13345940,1
13349145,1
13349159,1
13351009,1
13351490,1
13352231,1
13353873,1
13356180,1
13358355,1
13360087,1
13364271,1
13364692,1
13365914,1
13368634,1
13373408,1
13374920,1
13375492,1
13378255,1
13380178,1
13380302,1
13384750,1
13388293,1
13390451,1
13395068,1
13395663,5
13396244,1
13404908,1
13405213,1
13408270,2
13411088,1
13412284,1
13417471,1
13418242,2
13419128,3
13425739,2
13426727,1
13428217,1
13438087,1
13443710,3
13447806,1
13448470,4
13450901,1
13453614,1
13456514,1
13457337,1
13458562,1
13461153,1
13462650,1
13465368,1
13469730,1
13470149,1
13472648,1
13475840,1
13476213,1
13476303,1
13477615,2
13483328,1
13486635,1
13488851,2
13489651,1
13490650,2
13491134,1
13491775,1
13493639,1
13496913,1
13498868,1
13499553,1
13502445,1
13502537,1
13503181,1
13512153,1
13512980,1
13515411,1
13516186,3
13517230,1
13524040,1
